"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Maianthemum racemosum","Solomon's plume","2022-08-26","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3639396793,-68.210506626,10,"https://www.inaturalist.org/observations/132455075"
"Danaus plexippus","Monarch","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.335245,-68.0593861667,4,"https://www.inaturalist.org/observations/132282000"
"Danaus plexippus","Monarch","2022-08-25","Winter Harbor, ME 04693, USA",44.3350305884,-68.0610276014,7,"https://www.inaturalist.org/observations/132340981"
"Danaus plexippus","Monarch","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3502583333,-68.2301033333,5,"https://www.inaturalist.org/observations/132352839"
"Danaus plexippus","Monarch","2022-08-23","Acadia National Park, Bar Harbor, ME, US",44.3974416667,-68.2094283333,46,"https://www.inaturalist.org/observations/132217667"
"Danaus plexippus","Monarch","2022-08-22","Parque Nacional Acadia, Bar Harbor, ME, US",44.3975977321,-68.2093139459,5,"https://www.inaturalist.org/observations/131905525"
"Lonicera canadensis","American fly-honeysuckle","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,1552,"https://www.inaturalist.org/observations/132207122"
"Epigaea repens","trailing arbutus","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,1552,"https://www.inaturalist.org/observations/132209017"
"Danaus plexippus","Monarch","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3364347839,-68.0618216745,4,"https://www.inaturalist.org/observations/131583410"
"Danaus plexippus","Monarch","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3364580248,-68.0618071812,4,"https://www.inaturalist.org/observations/131583698"
"Danaus plexippus","Monarch","2022-08-20","Winter Harbor, ME 04693, USA",44.3364625687,-68.0618116405,24,"https://www.inaturalist.org/observations/131583818"
"Danaus plexippus","Monarch","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3361643036,-68.0592739139,35,"https://www.inaturalist.org/observations/131587485"
"Danaus plexippus","Monarch","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3352533333,-68.0591361667,5,"https://www.inaturalist.org/observations/131595389"
"Danaus plexippus","Monarch","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353416667,-68.0592583333,4,"https://www.inaturalist.org/observations/131596933"
"Cuscuta gronovii","Scaldweed","2022-08-20","Winter Harbor, ME 04693, USA",44.33337,-68.047852,NA,"https://www.inaturalist.org/observations/131810878"
"Rhodiola rosea","Roseroot","2022-08-20","Winter Harbor, ME 04693, USA",44.3318431,-68.0485761997,NA,"https://www.inaturalist.org/observations/131811218"
"Lysimachia maritima","Sea Milkwort","2022-08-20","Winter Harbor, ME 04693, USA",44.336199,-68.046468,NA,"https://www.inaturalist.org/observations/131824905"
"Spergularia canadensis","canada sand-spurry","2022-08-20","Winter Harbor, ME 04693, USA",44.336365,-68.047246,NA,"https://www.inaturalist.org/observations/131826306"
"Verbena hastata","blue vervain","2022-08-20","Bar Harbor, ME 04609, United States",44.3625646,-68.2081597,204,"https://www.inaturalist.org/observations/133488223"
"Arisaema triphyllum","Jack-in-the-Pulpit","2022-08-20","Hancock County, US-ME, US",44.2814822385,-68.3908448374,223,"https://www.inaturalist.org/observations/133488229"
"Epigaea repens","trailing arbutus","2022-08-19","Hancock County, US-ME, US",44.3689435545,-68.2043486528,6579,"https://www.inaturalist.org/observations/133521508"
"Typha latifolia","broad-leaved cattail","2022-08-19","Winter Harbor, ME, USA",44.3624194444,-68.0402111111,NA,"https://www.inaturalist.org/observations/145706860"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-08-13","Acadia National Park, Southwest Harbor, ME, US",44.2329533333,-68.319305,592,"https://www.inaturalist.org/observations/131368474"
"Danaus plexippus","Monarch","2022-08-12","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0608055,5,"https://www.inaturalist.org/observations/130500240"
"Asclepias syriaca","common milkweed","2022-08-12","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0608055,5,"https://www.inaturalist.org/observations/130500701"
"Danaus plexippus","Monarch","2022-08-12","Birch Harbor",44.3352355957,-68.0611495972,35,"https://www.inaturalist.org/observations/130524768"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-08-12","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2328443997,-68.3222561997,NA,"https://www.inaturalist.org/observations/130557744"
"Medeola virginiana","Cucumber Root","2022-08-11","Isle Au Haut, Acadia National Park, Knox County, US-ME, US",44.06840266,-68.63936036,13,"https://www.inaturalist.org/observations/130396481"
"Bombus terricola","Yellow-banded Bumble Bee","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.339073021,-68.0451607425,20,"https://www.inaturalist.org/observations/130412870"
"Danaus plexippus","Monarch","2022-08-11","Birch Harbor",44.3352355957,-68.0609664917,35,"https://www.inaturalist.org/observations/130417252"
"Danaus plexippus","Monarch","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.335195,-68.0609361667,41,"https://www.inaturalist.org/observations/130492560"
"Bombus terricola","Yellow-banded Bumble Bee","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3390962775,-68.0451277055,4,"https://www.inaturalist.org/observations/130531346"
"Verbena hastata","blue vervain","2022-08-10","Bar Harbor, ME 04609, USA",44.3647699785,-68.208671473,1407,"https://www.inaturalist.org/observations/131894595"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-08-10","Mount Desert Island, Southwest Harbor, ME, US",44.2271583333,-68.3209216667,50,"https://www.inaturalist.org/observations/139715943"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-08-09","Southwest Harbor, ME 04679, USA",44.2325745997,-68.3182007,NA,"https://www.inaturalist.org/observations/130183573"
"Andropogon gerardi","big bluestem","2022-08-09","Acadia National Park, Mount Desert, ME, US",44.3359901268,-68.2740938997,26159,"https://www.inaturalist.org/observations/132578321"
"Danaus plexippus","Monarch","2022-08-06","Winter Harbor, ME, USA",44.3363694444,-68.0617222222,4,"https://www.inaturalist.org/observations/129731861"
"Danaus plexippus","Monarch","2022-08-06","Winter Harbor, ME, USA",44.33635,-68.0617611111,4,"https://www.inaturalist.org/observations/129731986"
"Dasiphora fruticosa","shrubby cinquefoil","2022-08-06","Acadia National Park, Mount Desert, ME, US",44.3234679527,-68.2245064917,75977,"https://www.inaturalist.org/observations/129836172"
"Typha latifolia","broad-leaved cattail","2022-08-06","Winter Harbor, ME, USA",44.3390277778,-68.0626666667,4,"https://www.inaturalist.org/observations/131149458"
"Euthamia graminifolia","flat-topped goldenrod","2022-08-06","Winter Harbor, ME, USA",44.338831285,-68.0456292119,31,"https://www.inaturalist.org/observations/131395365"
"Lysimachia maritima","Sea Milkwort","2022-08-05","Arey Cove, Winter Harbor, ME, US",44.3362435147,-68.0470931698,24,"https://www.inaturalist.org/observations/129555540"
"Danaus plexippus","Monarch","2022-08-05","Acadia National Park, Birch Harbor, ME, US",44.3364616667,-68.0617916667,4,"https://www.inaturalist.org/observations/129582542"
"Danaus plexippus","Monarch","2022-08-05","Acadia National Park, Birch Harbor, ME, US",44.336475,-68.0617916667,4,"https://www.inaturalist.org/observations/129582633"
"Danaus plexippus","Monarch","2022-08-03","Acadia National Park, Birch Harbor, ME, US",44.3367945648,-68.0618336678,39,"https://www.inaturalist.org/observations/129280598"
"Verbena hastata","blue vervain","2022-08-03","Acadia National Park, Mount Desert, ME, US",44.3209533333,-68.25387,4,"https://www.inaturalist.org/observations/129333212"
"Lilium philadelphicum","Wood Lily","2022-08-03","Acadia National Park, Mount Desert, ME, US",44.339255,-68.271355,4,"https://www.inaturalist.org/observations/129369157"
"Danaus plexippus","Monarch","2022-08-02","Trenton, ME 04605, USA",44.4270327696,-68.3644108706,4,"https://www.inaturalist.org/observations/129831076"
"Danaus plexippus","Monarch","2022-08-01","Thompson Island, Trenton, ME 04605, USA",44.4268926,-68.3655777,386,"https://www.inaturalist.org/observations/129213694"
"Asclepias syriaca","common milkweed","2022-07-31","Acadia National Park, Mount Desert, ME, US",44.32047,-68.2534866667,11,"https://www.inaturalist.org/observations/128796140"
"Danaus plexippus","Monarch","2022-07-31","Acadia National Park, Bar Harbor, ME, US",44.3267333333,-68.17675,4,"https://www.inaturalist.org/observations/128821040"
"Lilium philadelphicum","Wood Lily","2022-07-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3428039551,-68.2732849121,4,"https://www.inaturalist.org/observations/128646169"
"Danaus plexippus","Monarch","2022-07-30","Bar Harbor, ME 04609, USA",44.3257637,-68.1865578,NA,"https://www.inaturalist.org/observations/128970860"
"Monotropa hypopitys","pinesap","2022-07-29","Bar Harbor, ME, USA",44.3729694655,-68.2189539128,449,"https://www.inaturalist.org/observations/129601739"
"Danaus plexippus","Monarch","2022-07-28","Trenton, ME 04605, USA",44.426175,-68.3637483333,NA,"https://www.inaturalist.org/observations/128364951"
"Danaus plexippus","Monarch","2022-07-28","Trenton, ME 04605, USA",44.4269883333,-68.364375,NA,"https://www.inaturalist.org/observations/128365105"
"Danaus plexippus","Monarch","2022-07-28","Trenton, ME 04605, USA",44.42717,-68.3644866667,NA,"https://www.inaturalist.org/observations/128365209"
"Danaus plexippus","Monarch","2022-07-28","Acadia National Park, Birch Harbor, ME, US",44.3363180571,-68.0617352855,9,"https://www.inaturalist.org/observations/128378400"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.401738,-68.2400279722,NA,"https://www.inaturalist.org/observations/128398122"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.401738,-68.2400279722,NA,"https://www.inaturalist.org/observations/128398240"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.39486,-68.2499899722,NA,"https://www.inaturalist.org/observations/128398338"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.394772,-68.2500419722,NA,"https://www.inaturalist.org/observations/128398521"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.394772,-68.2500419722,NA,"https://www.inaturalist.org/observations/128398616"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.390565,-68.2364429722,NA,"https://www.inaturalist.org/observations/128399087"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.4067509722,-68.251478,NA,"https://www.inaturalist.org/observations/128721880"
"Epigaea repens","trailing arbutus","2022-07-28","Bar Harbor, ME 04609, USA",44.393807,-68.251345,NA,"https://www.inaturalist.org/observations/128726758"
"Epigaea repens","trailing arbutus","2022-07-28","Bar Harbor, ME 04609, USA",44.389662,-68.2445629722,NA,"https://www.inaturalist.org/observations/128729998"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3907689722,-68.236283,NA,"https://www.inaturalist.org/observations/128732178"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3907919722,-68.23632,NA,"https://www.inaturalist.org/observations/128732314"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3906619722,-68.236348,NA,"https://www.inaturalist.org/observations/128732563"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3907689722,-68.2364069722,NA,"https://www.inaturalist.org/observations/128732719"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3984319722,-68.2348729722,NA,"https://www.inaturalist.org/observations/128755547"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3984489722,-68.2349179722,NA,"https://www.inaturalist.org/observations/128755677"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3982829722,-68.2350509722,NA,"https://www.inaturalist.org/observations/128755801"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.398513,-68.2348779722,NA,"https://www.inaturalist.org/observations/128756286"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.3983819722,-68.235121,NA,"https://www.inaturalist.org/observations/128756417"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.398572,-68.235094,NA,"https://www.inaturalist.org/observations/128756621"
"Rhexia virginica","Virginia meadowbeauty","2022-07-28","Bar Harbor, ME 04609, USA",44.398648,-68.235191,NA,"https://www.inaturalist.org/observations/128756700"
"Capnoides sempervirens","rock harlequin","2022-07-28","Bar Harbor, ME 04609, USA",44.401752,-68.238301,NA,"https://www.inaturalist.org/observations/128756834"
"Cypripedium acaule","pink lady's slipper","2022-07-28","Bar Harbor, ME 04609, USA",44.401752,-68.238301,NA,"https://www.inaturalist.org/observations/128756924"
"Bombus terricola","Yellow-banded Bumble Bee","2022-07-28","Bar Harbor, ME, USA",44.3627495879,-68.2081863633,82,"https://www.inaturalist.org/observations/129601597"
"Bombus terricola","Yellow-banded Bumble Bee","2022-07-28","Bar Harbor, ME, USA",44.3627495879,-68.2081863633,82,"https://www.inaturalist.org/observations/129601600"
"Bombus terricola","Yellow-banded Bumble Bee","2022-07-28","Bar Harbor, ME, USA",44.3627495879,-68.2081863633,82,"https://www.inaturalist.org/observations/129601604"
"Amphicarpaea bracteata","American hog-peanut","2022-07-28","Acadia National Park, Bar Harbor, ME, US",44.3622133333,-68.2080916667,4,"https://www.inaturalist.org/observations/129705811"
"Danaus plexippus","Monarch","2022-07-27","Acadia National Park, Mount Desert, ME, US",44.3203966667,-68.253655,40,"https://www.inaturalist.org/observations/128174590"
"Danaus plexippus","Monarch","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364542211,-68.0617678073,3,"https://www.inaturalist.org/observations/128183959"
"Danaus plexippus","Monarch","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364522094,-68.0617470202,7,"https://www.inaturalist.org/observations/128184185"
"Danaus plexippus","Monarch","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364476413,-68.0617397279,4,"https://www.inaturalist.org/observations/128185617"
"Bartonia virginica","yellow screwstem","2022-07-27","Hancock County, US-ME, US",44.328462973,-68.2743004355,675,"https://www.inaturalist.org/observations/129474190"
"Rhexia virginica","Virginia meadowbeauty","2022-07-26","Acadia National Park, Bar Harbor, ME, US",44.4065403059,-68.2516614224,4,"https://www.inaturalist.org/observations/127995272"
"Arisaema triphyllum","Jack-in-the-Pulpit","2022-07-26","Acadia National Park, Southwest Harbor, ME, US",44.3123283333,-68.3363333333,15,"https://www.inaturalist.org/observations/129495017"
"Medeola virginiana","Cucumber Root","2022-07-26","Acadia National Park, Mount Desert, ME, US",44.3133416667,-68.3348166667,804,"https://www.inaturalist.org/observations/129500291"
"Platanthera clavellata","small green wood orchid","2022-07-25","Acadia National Park, Mount Desert, ME, US",44.31423,-68.3354333333,23,"https://www.inaturalist.org/observations/129349965"
"Mertensia maritima","Oysterplant","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,170,"https://www.inaturalist.org/observations/129560238"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,170,"https://www.inaturalist.org/observations/129560393"
"Danaus plexippus","Monarch","2022-07-22","Acadia National Park, Bar Harbor, ME, US",44.3520966667,-68.2238383333,4,"https://www.inaturalist.org/observations/127553297"
"Asclepias syriaca","common milkweed","2022-07-22","Acadia National Park, Bar Harbor, ME, US",44.3521,-68.2238383333,4,"https://www.inaturalist.org/observations/127553354"
"Bartonia virginica","yellow screwstem","2022-07-22","Bar Harbor, ME, USA",44.3520721597,-68.2245200515,45,"https://www.inaturalist.org/observations/145011305"
"Platanthera clavellata","small green wood orchid","2022-07-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3236146464,-68.2499579398,7,"https://www.inaturalist.org/observations/127305320"
"Trillium undulatum","painted trillium","2022-07-21","Mt Desert, ME, USA",44.3361857933,-68.25466021,31,"https://www.inaturalist.org/observations/145061965"
"Asclepias syriaca","common milkweed","2022-07-19","Sorrento",44.3969764709,-68.2112197876,545,"https://www.inaturalist.org/observations/126958065"
"Arisaema triphyllum","Jack-in-the-Pulpit","2022-07-19","Bar Harbor, ME 04609, USA",44.36268899,-68.20809005,14,"https://www.inaturalist.org/observations/127022900"
"Monotropa hypopitys","pinesap","2022-07-19","Acadia National Park, Bar Harbor, ME, US",44.4004383333,-68.23517,4086,"https://www.inaturalist.org/observations/127026793"
"Bombus terricola","Yellow-banded Bumble Bee","2022-07-19","Southwest Harbor, ME 04679, USA",44.2396655,-68.3035256,NA,"https://www.inaturalist.org/observations/135188459"
"Euthamia graminifolia","flat-topped goldenrod","2022-07-19","Southwest Harbor, ME, USA",44.2412705658,-68.3067790438,15,"https://www.inaturalist.org/observations/145117869"
"Asclepias syriaca","common milkweed","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.3975,-68.2097633333,4,"https://www.inaturalist.org/observations/126897404"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2326666667,-68.3184883333,4,"https://www.inaturalist.org/observations/126913823"
"Danaus plexippus","Monarch","2022-07-16","Cadillac Mountain, Bar Harbor, ME 04609, USA",44.3525816,-68.2251036,165,"https://www.inaturalist.org/observations/126660351"
"Lysimachia maritima","Sea Milkwort","2022-07-16","Winter Harbor, ME, USA",44.3370392834,-68.0510583705,15,"https://www.inaturalist.org/observations/145531601"
"Rhodiola rosea","Roseroot","2022-07-16","Little Moose Island, Acadia National Park, Hancock, Maine, United States",44.3321722222,-68.0508194444,6,"https://www.inaturalist.org/observations/145531611"
"Epilobium ciliatum","fringed willowherb","2022-07-16","Winter Harbor, ME, USA",44.3334524789,-68.0510757014,206,"https://www.inaturalist.org/observations/145531614"
"Trichophorum cespitosum","Tufted Bulrush","2022-07-16","Winter Harbor, ME, USA",44.3327549223,-68.0504485183,46,"https://www.inaturalist.org/observations/145531619"
"Platanthera clavellata","small green wood orchid","2022-07-16","Winter Harbor, ME, USA",44.3405928801,-68.0570008719,87,"https://www.inaturalist.org/observations/145531625"
"Lonicera canadensis","American fly-honeysuckle","2022-07-15","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.32688625,-68.27027465,5,"https://www.inaturalist.org/observations/126375165"
"Danaus plexippus","Monarch","2022-07-15","Gouldsboro, ME, USA",44.3977303614,-68.2095985877,30,"https://www.inaturalist.org/observations/126545346"
"Asclepias syriaca","common milkweed","2022-07-15","Gouldsboro, ME, USA",44.3976065248,-68.2095575082,26,"https://www.inaturalist.org/observations/126545347"
"Maianthemum racemosum","Solomon's plume","2022-07-14","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3668245469,-68.2084057488,1102,"https://www.inaturalist.org/observations/126214711"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-07-14","Southwest Harbor, ME 04679, USA",44.23300888,-68.31930632,7,"https://www.inaturalist.org/observations/126234672"
"Danaus plexippus","Monarch","2022-07-14","Acadia National Park, Bar Harbor, ME, US",44.3624242399,-68.2081241636,7,"https://www.inaturalist.org/observations/126245011"
"Danaus plexippus","Monarch","2022-07-14","Acadia National Park, Bar Harbor, ME, US",44.3620433144,-68.2078627153,9,"https://www.inaturalist.org/observations/126254927"
"Lilium philadelphicum","Wood Lily","2022-07-13","Acadia National Park, Bar Harbor, ME, US",44.3283666667,-68.1743916667,4,"https://www.inaturalist.org/observations/126096904"
"Rhodiola rosea","Roseroot","2022-07-13","Acadia National Park, Birch Harbor, ME, US",44.3366736751,-68.0636608507,52,"https://www.inaturalist.org/observations/126115295"
"Asclepias syriaca","common milkweed","2022-07-12","Acadia National Park, Bar Harbor, ME, US",44.3976118771,-68.2094592728,4,"https://www.inaturalist.org/observations/125973777"
"Danaus plexippus","Monarch","2022-07-12","Acadia National Park, Bar Harbor, ME, US",44.4052151465,-68.2578023994,17939,"https://www.inaturalist.org/observations/125982444"
"Lilium philadelphicum","Wood Lily","2022-07-12","Acadia National Park, Mount Desert, ME, US",44.3414416667,-68.2732,17,"https://www.inaturalist.org/observations/184758750"
"Corema conradii","broom crowberry","2022-07-11","Acadia National Park, Birch Harbor, ME, US",44.3439835375,-68.0490588415,4,"https://www.inaturalist.org/observations/125793233"
"Epilobium ciliatum","fringed willowherb","2022-07-11","Winter Harbor, ME, USA",44.3326460653,-68.0610290393,1,"https://www.inaturalist.org/observations/126398123"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-07-08","Southwest Harbor, ME 04679, USA",44.2274972222,-68.3215694444,NA,"https://www.inaturalist.org/observations/125363121"
"Asclepias syriaca","common milkweed","2022-07-07","Bar Harbor, ME 04609, USA",44.3765638889,-68.2502444444,NA,"https://www.inaturalist.org/observations/125215998"
"Asclepias syriaca","common milkweed","2022-07-06","Acadia National Park, Birch Harbor, ME, US",44.3364033333,-68.061775,5,"https://www.inaturalist.org/observations/125049820"
"Monotropa hypopitys","pinesap","2022-07-06","Acadia National Park, Mount Desert, ME, US",44.3117216667,-68.2936333333,3,"https://www.inaturalist.org/observations/125548487"
"Danaus plexippus","Monarch","2022-07-05","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,"https://www.inaturalist.org/observations/124955716"
"Monotropa hypopitys","pinesap","2022-07-05","Acadia National Park, Birch Harbor, ME, US",44.3400694155,-68.0658045983,48,"https://www.inaturalist.org/observations/125242106"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-07-04","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2327211407,-68.3184211913,7,"https://www.inaturalist.org/observations/124755664"
"Asclepias syriaca","common milkweed","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3779540775,-68.2527705488,712,"https://www.inaturalist.org/observations/124255664"
"Toxicodendron radicans","eastern poison ivy","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3158216667,-68.1908633333,4,"https://www.inaturalist.org/observations/124295860"
"Asclepias syriaca","common milkweed","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.376575,-68.2502133333,3,"https://www.inaturalist.org/observations/124159579"
"Danaus plexippus","Monarch","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.3975986122,-68.2097703405,4,"https://www.inaturalist.org/observations/124211423"
"Danaus plexippus","Monarch","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.3975503322,-68.2097631321,4,"https://www.inaturalist.org/observations/124211450"
"Rhodiola rosea","Roseroot","2022-06-29","Acadia National Park, Bar Harbor, ME, US",44.3623987679,-68.2084181719,4,"https://www.inaturalist.org/observations/123983706"
"Rhodiola rosea","Roseroot","2022-06-28","Acadia National Park, Winter Harbor, ME, US",44.3322033333,-68.050925,3,"https://www.inaturalist.org/observations/123889854"
"Rhodiola rosea","Roseroot","2022-06-28","Acadia National Park, Winter Harbor, ME, US",44.3321033333,-68.0508888333,4,"https://www.inaturalist.org/observations/123890185"
"Maianthemum racemosum","Solomon's plume","2022-06-28","Acadia National Park, Bar Harbor, ME, US",44.3638083333,-68.2103283333,1102,"https://www.inaturalist.org/observations/123893448"
"Medeola virginiana","Cucumber Root","2022-06-28","Acadia National Park, Bar Harbor, ME, US",44.3661083333,-68.2125633333,25,"https://www.inaturalist.org/observations/123952663"
"Capnoides sempervirens","rock harlequin","2022-06-28","Bar Harbor, ME 04609, USA",44.4016406,-68.2383765997,NA,"https://www.inaturalist.org/observations/124053778"
"Asclepias syriaca","common milkweed","2022-06-28","Bar Harbor, ME 04609, USA",44.3978012997,-68.2087472997,NA,"https://www.inaturalist.org/observations/124056728"
"Rhodiola rosea","Roseroot","2022-06-28","Acadia National Park, Bar Harbor, ME, US",44.3605034388,-68.2053201088,3625,"https://www.inaturalist.org/observations/124135061"
"Monotropa hypopitys","pinesap","2022-06-27","Acadia National Park, Bar Harbor, ME, US",44.3934883333,-68.2515866667,4,"https://www.inaturalist.org/observations/124133488"
"Toxicodendron radicans","eastern poison ivy","2022-06-26","Bar Harbor, ME 04609, USA",44.3146916667,-68.1908555556,NA,"https://www.inaturalist.org/observations/123568360"
"Cypripedium acaule","pink lady's slipper","2022-06-25","Acadia National Park, Bar Harbor, ME, US",44.3401910024,-68.2220121818,130,"https://www.inaturalist.org/observations/164456345"
"Rhodiola rosea","Roseroot","2022-06-25","Winter Harbor, ME, USA",44.3330885539,-68.0609035294,289,"https://www.inaturalist.org/observations/174212207"
"Asclepias syriaca","common milkweed","2022-06-24","Acadia National Park, Bar Harbor, ME, US",44.3973916667,-68.20983,65,"https://www.inaturalist.org/observations/123254101"
"Rhodiola rosea","Roseroot","2022-06-22","Acadia National Park, Winter Harbor, ME, US",44.3324133333,-68.0510333333,4,"https://www.inaturalist.org/observations/122991171"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-06-22","Southwest Harbor",44.2326965332,-68.3184204102,4,"https://www.inaturalist.org/observations/122998552"
"Danaus plexippus","Monarch","2022-06-22","Acadia National Park, Bar Harbor, ME, US",44.3989744742,-68.2057785652,186,"https://www.inaturalist.org/observations/123071965"
"Lonicera canadensis","American fly-honeysuckle","2022-06-22","Acadia National Park, Mount Desert, ME, US",44.3174466667,-68.2720033333,4,"https://www.inaturalist.org/observations/123176773"
"Rhodiola rosea","Roseroot","2022-06-21","Acadia National Park, Winter Harbor, ME, US",44.3320043106,-68.0504938123,7,"https://www.inaturalist.org/observations/122825221"
"Cypripedium acaule","pink lady's slipper","2022-06-18","Acadia National Park, Birch Harbor, ME, US",44.3383229246,-68.0593834446,35,"https://www.inaturalist.org/observations/122315740"
"Lysimachia maritima","Sea Milkwort","2022-06-18","Acadia National Park, Hancock County, US-ME, US",44.3407476481,-68.0658836965,6,"https://www.inaturalist.org/observations/122320549"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2022-06-18","Acadia National Park, Southwest Harbor, ME, US",44.2272216667,-68.320795,45,"https://www.inaturalist.org/observations/122418866"
"Cypripedium acaule","pink lady's slipper","2022-06-17","Acadia National Park, Birch Harbor, ME, US",44.3387950156,-68.0593788588,4,"https://www.inaturalist.org/observations/122223320"
"Rhodiola rosea","Roseroot","2022-06-16","Winter Harbor, ME, USA",44.3355361111,-68.0664583333,NA,"https://www.inaturalist.org/observations/123440722"
"Rhodiola rosea","Roseroot","2022-06-15","Winter Harbor, ME 04693, USA",44.335962,-68.0668189722,NA,"https://www.inaturalist.org/observations/121910836"
"Cypripedium acaule","White-flowered Pink Lady's-slipper","2022-06-15","Parque Nacional Acadia, Bar Harbor, ME, US",44.3525727372,-68.2581909758,1388,"https://www.inaturalist.org/observations/122235116"
"Toxicodendron radicans","eastern poison ivy","2022-06-14","Schoodic Point, Acadia National Park, Hancock County, US-ME, US",44.3357353777,-68.057166743,4,"https://www.inaturalist.org/observations/121793151"
"Cypripedium acaule","pink lady's slipper","2022-06-12","Bar Harbor",44.3392372131,-68.2090072632,4,"https://www.inaturalist.org/observations/121422952"
"Cypripedium acaule","pink lady's slipper","2022-06-12","Mt Desert, ME 04660, USA",44.3244688997,-68.2199602,NA,"https://www.inaturalist.org/observations/121501590"
"Rhodiola rosea","Roseroot","2022-06-12","Winter Harbor, ME 04693, USA",44.3334639722,-68.063258,NA,"https://www.inaturalist.org/observations/122586565"
"Rhodiola rosea","Roseroot","2022-06-12","Winter Harbor, ME 04693, USA",44.3334559722,-68.06332,NA,"https://www.inaturalist.org/observations/122586643"
