"common.name","scientific.name","observed.on","place.guess","latitude","longitude","positional.accuracy","url","cat"
"common heather","Calluna vulgaris","2022-11-12","Acadia National Park, Mount Desert, ME, US",44.319425,-68.316995,5,"https://www.inaturalist.org/observations/141833857","All observations"
"rugosa rose","Rosa rugosa","2022-10-24","Sand Beach, Acadia National Park, Bar Harbor, ME, USA",44.3291522904,-68.1827187542,184,"https://www.inaturalist.org/observations/139927580","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-23","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.3005981445,-68.3170700073,411,"https://www.inaturalist.org/observations/139768116","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3629825159,-68.2090647341,244,"https://www.inaturalist.org/observations/139569624","All observations"
"glossy buckthorn","Frangula alnus","2022-10-21","Jesup Path, Bar Harbor, ME 04609, USA",44.3697533,-68.2119138,302,"https://www.inaturalist.org/observations/139572455","All observations"
"glossy buckthorn","Frangula alnus","2022-10-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3629833333,-68.20845,71,"https://www.inaturalist.org/observations/139578053","All observations"
"rugosa rose","Rosa rugosa","2022-10-20","Winter Harbor, ME 04693, USA",44.338394,-68.0455199722,NA,"https://www.inaturalist.org/observations/139482160","All observations"
"rugosa rose","Rosa rugosa","2022-10-17","Bar Harbor, ME, USA",44.3291722222,-68.1803666667,3,"https://www.inaturalist.org/observations/139194774","All observations"
"rugosa rose","Rosa rugosa","2022-10-15","Southwest Harbor, ME 04679, USA",44.2419472222,-68.2998416667,NA,"https://www.inaturalist.org/observations/146275421","All observations"
"purple crownvetch","Securigera varia","2022-10-13","Acadia National Park, Bar Harbor, ME, US",44.327175,-68.1856783333,31,"https://www.inaturalist.org/observations/183199332","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-10-12","Acadia National Park, Bar Harbor, ME, US",44.4090783333,-68.25377,6,"https://www.inaturalist.org/observations/139249205","All observations"
"rugosa rose","Rosa rugosa","2022-10-12","Bar Harbor, ME, USA",44.3207666667,-68.1887166667,NA,"https://www.inaturalist.org/observations/141116522","All observations"
"rugosa rose","Rosa rugosa","2022-10-12","Bar Harbor, ME, USA",44.3109183333,-68.189145,NA,"https://www.inaturalist.org/observations/141117837","All observations"
"Alsike clover","Trifolium hybridum","2022-10-07","Bar Harbor, ME, USA",44.3774627728,-68.2521702395,2,"https://www.inaturalist.org/observations/137885908","All observations"
"rugosa rose","Rosa rugosa","2022-10-06","Acadia National Park, Hancock County, US-ME, US",44.3652038574,-68.0765533447,32,"https://www.inaturalist.org/observations/137743286","All observations"
"purple crownvetch","Securigera varia","2022-10-06","Acadia National Park, Bar Harbor, ME, US",44.3263283333,-68.1863333333,24,"https://www.inaturalist.org/observations/142838465","All observations"
"rugosa rose","Rosa rugosa","2022-10-04","Acadia National Park, Birch Harbor, ME, US",44.3386616667,-68.0454778333,12,"https://www.inaturalist.org/observations/137578198","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-02","Bar Harbor, ME, USA",44.3290695668,-68.1802718744,2,"https://www.inaturalist.org/observations/137465369","All observations"
"rugosa rose","Rosa rugosa","2022-10-01","Acadia National Park, Bar Harbor, ME, US",44.3599690218,-68.1880980079,11,"https://www.inaturalist.org/observations/137187379","All observations"
"rugosa rose","Rosa rugosa","2022-09-29","Nicatous Lake, Acadia National Park, Hancock, Maine, United States",44.2421791667,-68.2997241667,NA,"https://www.inaturalist.org/observations/137058133","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-09-28","Mt Desert, ME 04660, USA",44.307808,-68.2027729722,NA,"https://www.inaturalist.org/observations/137136860","All observations"
"colt's-foot","Tussilago farfara","2022-09-28","Bar Harbor, ME 04609, USA",44.3479489722,-68.251271,NA,"https://www.inaturalist.org/observations/137137056","All observations"
"rugosa rose","Rosa rugosa","2022-09-27","Acadia National Park, Bar Harbor, ME, US",44.3387533333,-68.0453805,4,"https://www.inaturalist.org/observations/196229830","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-26","Acadia National Park, Mount Desert, ME, US",44.2974883333,-68.215155,8,"https://www.inaturalist.org/observations/136585083","All observations"
"rugosa rose","Rosa rugosa","2022-09-26","Southwest Harbor, ME 04679, USA",44.2281929722,-68.311081,NA,"https://www.inaturalist.org/observations/136856745","All observations"
"rugosa rose","Rosa rugosa","2022-09-23","Mount Desert Island, Southwest Harbor, ME, US",44.22202,-68.3375083333,4,"https://www.inaturalist.org/observations/136168800","All observations"
"rugosa rose","Rosa rugosa","2022-09-22","Frazer Point, Winter Harbor, ME 04693, USA",44.3756358,-68.0747287,1550,"https://www.inaturalist.org/observations/149274047","All observations"
"rugosa rose","Rosa rugosa","2022-09-17","Acadia National Park, Southwest Harbor, ME, US",44.2284466667,-68.310945,4,"https://www.inaturalist.org/observations/135727625","All observations"
"glossy buckthorn","Frangula alnus","2022-09-17","Bar Harbor, ME, USA",44.3077619,-68.1931734,NA,"https://www.inaturalist.org/observations/142644226","All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Bar Harbor, ME 04609, USA",44.32080311,-68.18869993,6,"https://www.inaturalist.org/observations/135117741","All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22936962,-68.31255653,6,"https://www.inaturalist.org/observations/135231205","All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22931737,-68.31259389,5,"https://www.inaturalist.org/observations/135231215","All observations"
"rugosa rose","Rosa rugosa","2022-09-12","Southwest Harbor",44.2284812927,-68.3112487793,230,"https://www.inaturalist.org/observations/134787179","All observations"
"rugosa rose","Rosa rugosa","2022-09-11","Acadia National Park, Bar Harbor, ME, US",44.3810254,-68.23047445,7897,"https://www.inaturalist.org/observations/134556045","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-11","Acadia National Park, Bar Harbor, ME, US",44.3159,-68.1907366667,33,"https://www.inaturalist.org/observations/134644772","All observations"
"rugosa rose","Rosa rugosa","2022-09-11","Acadia National Park, Bar Harbor, ME, US",44.3132633333,-68.1909466667,5005,"https://www.inaturalist.org/observations/134650252","All observations"
"rugosa rose","Rosa rugosa","2022-09-11","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22583661,-68.31795073,22,"https://www.inaturalist.org/observations/134656421","All observations"
"common heather","Calluna vulgaris","2022-09-10","Acadia National Park, Mount Desert, ME, US",44.31938,-68.316825,5,"https://www.inaturalist.org/observations/134537032","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-03","Acadia National Park, Birch Harbor, ME, US",44.3329263619,-68.0604375154,14,"https://www.inaturalist.org/observations/135417351","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-01","Acadia National Park, Birch Harbor, ME, US",44.332375,-68.059775,5,"https://www.inaturalist.org/observations/134870903","All observations"
"rugosa rose","Rosa rugosa","2022-08-28","Acadia National Park, Southwest Harbor, ME, US",44.2291416667,-68.3124916667,48,"https://www.inaturalist.org/observations/132886895","All observations"
"rugosa rose","Rosa rugosa","2022-08-27","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3209053297,-68.1887606811,8,"https://www.inaturalist.org/observations/133514675","All observations"
"rugosa rose","Rosa rugosa","2022-08-27","Acadia National Park, Southwest Harbor, ME, US",44.2294416667,-68.312905,10,"https://www.inaturalist.org/observations/135032921","All observations"
"rugosa rose","Rosa rugosa","2022-08-26","Acadia National Park, Bar Harbor, ME, US",44.3208416667,-68.188605,10,"https://www.inaturalist.org/observations/133364104","All observations"
"rugosa rose","Rosa rugosa","2022-08-24","Acadia National Park, Bar Harbor, ME, US",44.329690517,-68.1836115188,130,"https://www.inaturalist.org/observations/132175282","All observations"
"rugosa rose","Rosa rugosa","2022-08-24","Mount Desert Island, Southwest Harbor, ME, US",44.2219283333,-68.3373633333,3,"https://www.inaturalist.org/observations/132190536","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-22","Acadia National Park, Bar Harbor, ME, US",44.3810254,-68.23047445,7897,"https://www.inaturalist.org/observations/131945473","All observations"
"colt's-foot","Tussilago farfara","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,1552,"https://www.inaturalist.org/observations/132216307","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-20","Winter Harbor, ME 04693, USA",44.336114,-68.0589762,16,"https://www.inaturalist.org/observations/131583001","All observations"
"Bull Thistle","Cirsium vulgare","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3364248513,-68.061825974,4,"https://www.inaturalist.org/observations/131583777","All observations"
"purple crownvetch","Securigera varia","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3359960533,-68.0579885565,4,"https://www.inaturalist.org/observations/131585142","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3358962921,-68.0579642201,4,"https://www.inaturalist.org/observations/131585764","All observations"
"purple crownvetch","Securigera varia","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3361260458,-68.0592680501,35,"https://www.inaturalist.org/observations/131586748","All observations"
"purple crownvetch","Securigera varia","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3364044542,-68.0588939087,44,"https://www.inaturalist.org/observations/131590766","All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Acadia National Park, Southwest Harbor, ME, US",44.2293415452,-68.3130155225,4,"https://www.inaturalist.org/observations/131454110","All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Acadia National Park, Bar Harbor, ME, US",44.3616029204,-68.2208466072,78628,"https://www.inaturalist.org/observations/131826136","All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Winter Harbor, ME, USA",44.33295,-68.0617305556,NA,"https://www.inaturalist.org/observations/145706151","All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Winter Harbor, ME, USA",44.3329444444,-68.0617472222,NA,"https://www.inaturalist.org/observations/145706582","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-19","Winter Harbor, ME, USA",44.3330333333,-68.0613888889,NA,"https://www.inaturalist.org/observations/145706668","All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3289778502,-68.1841687966,4,"https://www.inaturalist.org/observations/131369829","All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3174133301,-68.1994781494,4,"https://www.inaturalist.org/observations/131383246","All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Hancock County, US-ME, US",44.3189716626,-68.2337339356,3,"https://www.inaturalist.org/observations/131441381","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-18","Acadia National Park, Birch Harbor, ME, US",44.3371866667,-68.0610195,4,"https://www.inaturalist.org/observations/131594009","All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Acadia National Park, Birch Harbor, ME, US",44.3336381919,-68.0586487135,4,"https://www.inaturalist.org/observations/133244140","All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Bar Harbor, ME 04609, USA",44.31733071,-68.19985874,6,"https://www.inaturalist.org/observations/131116490","All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Acadia National Park, Southwest Harbor, ME, US",44.2294966667,-68.3128583333,8,"https://www.inaturalist.org/observations/131151605","All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Southwest Harbor, ME, USA",44.2290366667,-68.31247,NA,"https://www.inaturalist.org/observations/139691613","All observations"
"rugosa rose","Rosa rugosa","2022-08-15","Birch Harbor",44.3444213867,-68.0648727417,4,"https://www.inaturalist.org/observations/130978403","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-13","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2535480248,-68.3399066268,12,"https://www.inaturalist.org/observations/130633542","All observations"
"rugosa rose","Rosa rugosa","2022-08-13","Acadia National Park, Bar Harbor, ME, US",44.3109033333,-68.1891033333,5,"https://www.inaturalist.org/observations/155076455","All observations"
"Red Sand Spurrey","Spergularia rubra","2022-08-12","Winter Harbor, ME 04693, USA",44.3368166667,-68.0619616667,NA,"https://www.inaturalist.org/observations/130511042","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-12","Acadia National Park, Mount Desert, ME, US",44.3282750314,-68.2927844493,4,"https://www.inaturalist.org/observations/130549964","All observations"
"rugosa rose","Rosa rugosa","2022-08-12","Mount Desert Island, Bar Harbor, ME, US",44.4023744841,-68.2773861778,45525,"https://www.inaturalist.org/observations/130567165","All observations"
"rugosa rose","Rosa rugosa","2022-08-12","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208732605,-68.1887664795,3,"https://www.inaturalist.org/observations/131527869","All observations"
"colt's-foot","Tussilago farfara","2022-08-11","Bar Harbor, ME 04609, USA",44.3173158,-68.1963037,NA,"https://www.inaturalist.org/observations/130395101","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3337080162,-68.0639847369,3,"https://www.inaturalist.org/observations/130395155","All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Bass Harbor, ME 04653, USA",44.2219583333,-68.3373944444,NA,"https://www.inaturalist.org/observations/130403124","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-11","Birch Harbor",44.3354492188,-68.061340332,4,"https://www.inaturalist.org/observations/130406683","All observations"
"purple crownvetch","Securigera varia","2022-08-11","Birch Harbor",44.3352050781,-68.0609817505,35,"https://www.inaturalist.org/observations/130413835","All observations"
"narrow-leaved bittercress","Cardamine impatiens","2022-08-11","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.3233722135,-68.33180541,128,"https://www.inaturalist.org/observations/130417483","All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Bar Harbor, ME 04609, USA",44.3097804403,-68.1894896552,389,"https://www.inaturalist.org/observations/130445226","All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.33875,-68.0454778333,4,"https://www.inaturalist.org/observations/130500512","All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3393598007,-68.0519710901,443,"https://www.inaturalist.org/observations/130501068","All observations"
"rugosa rose","Rosa rugosa","2022-08-10","Acadia National Park, Hancock County, US-ME, US",44.3378295898,-68.0593566895,39,"https://www.inaturalist.org/observations/130363643","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-10","Acadia National Park, Birch Harbor, ME, US",44.33378,-68.0638888333,5,"https://www.inaturalist.org/observations/131079557","All observations"
"rugosa rose","Rosa rugosa","2022-08-10","Mount Desert Island, Southwest Harbor, ME, US",44.2287095734,-68.3121072866,382,"https://www.inaturalist.org/observations/139716537","All observations"
"rugosa rose","Rosa rugosa","2022-08-09","Southwest Harbor, ME 04679, USA",44.2297188,-68.3126852,NA,"https://www.inaturalist.org/observations/131814161","All observations"
"rugosa rose","Rosa rugosa","2022-08-08","Mount Desert Island, Bar Harbor, ME, US",44.3173333333,-68.199975,3,"https://www.inaturalist.org/observations/130025737","All observations"
"colt's-foot","Tussilago farfara","2022-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3100365578,-68.2220655867,97,"https://www.inaturalist.org/observations/130032659","All observations"
"colt's-foot","Tussilago farfara","2022-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3103379695,-68.2220169933,195,"https://www.inaturalist.org/observations/130035326","All observations"
"purple crownvetch","Securigera varia","2022-08-07","Acadia National Park, Southwest Harbor, ME, US",44.2995670986,-68.3502404004,15,"https://www.inaturalist.org/observations/129848344","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-07","Acadia National Park, Southwest Harbor, ME, US",44.2995586906,-68.3502658325,1063,"https://www.inaturalist.org/observations/129848482","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-07","Acadia National Park, Birch Harbor, ME, US",44.3446567485,-68.0603599548,893,"https://www.inaturalist.org/observations/129864268","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-06","Winter Harbor, ME, USA",44.3394583333,-68.0617361111,4,"https://www.inaturalist.org/observations/129659320","All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Bar Harbor, ME 04609, USA",44.3108732416,-68.1891258806,14,"https://www.inaturalist.org/observations/129723588","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-06","Winter Harbor, ME, USA",44.3759178817,-68.0751750999,49,"https://www.inaturalist.org/observations/131186184","All observations"
"creeping thistle","Cirsium arvense","2022-08-06","Winter Harbor, ME, USA",44.3759178817,-68.0751750999,49,"https://www.inaturalist.org/observations/131186317","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,47,"https://www.inaturalist.org/observations/131393794","All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,47,"https://www.inaturalist.org/observations/131393809","All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,47,"https://www.inaturalist.org/observations/131393838","All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3375,-68.0522888889,NA,"https://www.inaturalist.org/observations/131483620","All observations"
"purple crownvetch","Securigera varia","2022-08-06","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/179911753","All observations"
"common heather","Calluna vulgaris","2022-08-04","Acadia National Park, Mount Desert, ME, US",44.3194416667,-68.31688,4,"https://www.inaturalist.org/observations/184756928","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-02","Winter Harbor, ME 04693, USA",44.3362145257,-68.0620052665,222,"https://www.inaturalist.org/observations/129189968","All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-08-02","Trenton, ME 04605, USA",44.4266425975,-68.3647121949,2,"https://www.inaturalist.org/observations/129846296","All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-08-02","Trenton, ME 04605, USA",44.4266535822,-68.3647294225,2,"https://www.inaturalist.org/observations/129847570","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374795626,-68.0601827454,8,"https://www.inaturalist.org/observations/128966009","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374375194,-68.0602900075,9,"https://www.inaturalist.org/observations/128966077","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3375055711,-68.0602338114,4,"https://www.inaturalist.org/observations/128966084","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.337472776,-68.0602131678,9,"https://www.inaturalist.org/observations/128966090","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Hancock County, US-ME, US",44.3376275506,-68.0595992044,67,"https://www.inaturalist.org/observations/128966145","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374878957,-68.0602851247,9,"https://www.inaturalist.org/observations/128966239","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Hancock County, US-ME, US",44.3374806911,-68.0606997013,21,"https://www.inaturalist.org/observations/128966274","All observations"
"rugosa rose","Rosa rugosa","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3427312795,-68.0600541609,4,"https://www.inaturalist.org/observations/129012531","All observations"
"glossy buckthorn","Frangula alnus","2022-08-01","Acadia National Park, Bar Harbor, ME, US",44.3568407223,-68.2072859315,9,"https://www.inaturalist.org/observations/129022769","All observations"
"glossy buckthorn","Frangula alnus","2022-08-01","Bar Harbor, ME, USA",44.3690074721,-68.2061828678,184,"https://www.inaturalist.org/observations/129061804","All observations"
"rugosa rose","Rosa rugosa","2022-07-31","Acadia National Park, Birch Harbor, ME, US",44.376155,-68.0750195,4,"https://www.inaturalist.org/observations/128880905","All observations"
"rugosa rose","Rosa rugosa","2022-07-30","Acadia National Park, Birch Harbor, ME, US",44.3652991997,-68.0762640574,9,"https://www.inaturalist.org/observations/128588105","All observations"
"glossy buckthorn","Frangula alnus","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.3692083333,-68.2063216667,4,"https://www.inaturalist.org/observations/128467910","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.3307716667,-68.18483,4,"https://www.inaturalist.org/observations/128468115","All observations"
"purple crownvetch","Securigera varia","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.3271966667,-68.1856833333,4,"https://www.inaturalist.org/observations/128468442","All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.32077,-68.188745,4,"https://www.inaturalist.org/observations/128468710","All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Mount Desert Island, Bar Harbor, ME, US",44.3174833333,-68.1995916667,11,"https://www.inaturalist.org/observations/128468888","All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park",44.3388017424,-68.2733348384,16108,"https://www.inaturalist.org/observations/128529659","All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park",44.3388017424,-68.2733348384,16108,"https://www.inaturalist.org/observations/128529722","All observations"
"common heather","Calluna vulgaris","2022-07-29","Mt Desert, ME 04660, USA",44.326821,-68.286973,NA,"https://www.inaturalist.org/observations/128814486","All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-29","Bar Harbor, ME, USA",44.3583900605,-68.206592136,8,"https://www.inaturalist.org/observations/129601782","All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-29","Bar Harbor, ME, USA",44.3592787299,-68.2058559722,8,"https://www.inaturalist.org/observations/129601800","All observations"
"shrubby St. John's-wort","Hypericum prolificum","2022-07-28","Bar Harbor, ME, USA",44.3627176636,-68.2059455176,31,"https://www.inaturalist.org/observations/128375673","All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-07-28","Acadia National Park, Birch Harbor, ME, US",44.33649634,-68.0616118201,3,"https://www.inaturalist.org/observations/128378634","All observations"
"glossy buckthorn","Frangula alnus","2022-07-28","Acadia National Park, Bar Harbor, ME, US",44.3672366667,-68.2126916667,8,"https://www.inaturalist.org/observations/128448920","All observations"
"glossy buckthorn","Frangula alnus","2022-07-28","Acadia National Park, Bar Harbor, ME, US",44.3690633333,-68.2116783333,6,"https://www.inaturalist.org/observations/128449812","All observations"
"glossy buckthorn","Frangula alnus","2022-07-28","Acadia National Park, Bar Harbor, ME, US",44.369055,-68.2116783333,4,"https://www.inaturalist.org/observations/128450614","All observations"
"rugosa rose","Rosa rugosa","2022-07-28","Bar Harbor, ME 04609, USA",44.3109449722,-68.1890819722,NA,"https://www.inaturalist.org/observations/128649142","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-27","Schoodic Point, Acadia National Park, Hancock County, US-ME, US",44.3324018643,-68.0590109155,3,"https://www.inaturalist.org/observations/128460054","All observations"
"purple crownvetch","Securigera varia","2022-07-27","Acadia National Park, Bar Harbor, ME, US",44.3269583333,-68.1858533333,4,"https://www.inaturalist.org/observations/128827885","All observations"
"Bifid Hemp-nettle","Galeopsis bifida","2022-07-27","Hancock County, US-ME, US",44.2722538437,-68.3705304116,28,"https://www.inaturalist.org/observations/129377775","All observations"
"purple crownvetch","Securigera varia","2022-07-26","Acadia National Park, Mount Desert, ME, US",44.31008095,-68.2276422772,4,"https://www.inaturalist.org/observations/128040875","All observations"
"rugosa rose","Rosa rugosa","2022-07-26","Mount Desert Island, Bar Harbor, ME, US",44.3173966667,-68.1996616667,11,"https://www.inaturalist.org/observations/128394042","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-26","Acadia National Park, Bar Harbor, ME, US",44.3208783333,-68.188705,7,"https://www.inaturalist.org/observations/138672907","All observations"
"creeping thistle","Cirsium arvense","2022-07-25","Acadia National Park, Hancock County, US-ME, US",44.2910057513,-68.3614390266,564,"https://www.inaturalist.org/observations/129352097","All observations"
"rugosa rose","Rosa rugosa","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,170,"https://www.inaturalist.org/observations/129560230","All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Bar Harbor, ME 04609, USA",44.3288638,-68.1840282,NA,"https://www.inaturalist.org/observations/127757123","All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Maine, US",44.3702931333,-68.0626518482,227,"https://www.inaturalist.org/observations/129333657","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-24","Southwest Harbor, ME, USA",44.3061062506,-68.3154227831,217,"https://www.inaturalist.org/observations/129498723","All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Southwest Harbor, ME, USA",44.3061062506,-68.3154227831,217,"https://www.inaturalist.org/observations/129498803","All observations"
"shrubby St. John's-wort","Hypericum prolificum","2022-07-22","Bar Harbor, ME 04609, USA",44.3582669722,-68.206164,NA,"https://www.inaturalist.org/observations/127437779","All observations"
"Bull Thistle","Cirsium vulgare","2022-07-22","Bar Harbor, ME 04609, USA",44.358499,-68.2068849722,NA,"https://www.inaturalist.org/observations/127438215","All observations"
"rugosa rose","Rosa rugosa","2022-07-21","Bass Harbor Head Lighthouse",44.2220515789,-68.3373004943,213,"https://www.inaturalist.org/observations/127270313","All observations"
"rugosa rose","Rosa rugosa","2022-07-19","Acadia National Park, Bar Harbor, ME, US",44.3208366667,-68.188295,132,"https://www.inaturalist.org/observations/127432202","All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-18","Acadia National Park, Birch Harbor, ME, US",44.3358768874,-68.0613753253,4,"https://www.inaturalist.org/observations/126850175","All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.39738,-68.2099133333,4,"https://www.inaturalist.org/observations/126897515","All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.3314748176,-68.176836242,4,"https://www.inaturalist.org/observations/126907850","All observations"
"rugosa rose","Rosa rugosa","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2296116667,-68.3128366667,18,"https://www.inaturalist.org/observations/126914578","All observations"
"rugosa rose","Rosa rugosa","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2294966667,-68.3144133333,4,"https://www.inaturalist.org/observations/126916082","All observations"
"rugosa rose","Rosa rugosa","2022-07-15","Acadia National Park, Bar Harbor, ME, US",44.3606885663,-68.2315067109,5,"https://www.inaturalist.org/observations/126349913","All observations"
"Alsike clover","Trifolium hybridum","2022-07-15","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.31998383,-68.26815591,13,"https://www.inaturalist.org/observations/126375295","All observations"
"glossy buckthorn","Frangula alnus","2022-07-14","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3669079314,-68.21097586,4,"https://www.inaturalist.org/observations/126244897","All observations"
"glossy buckthorn","Frangula alnus","2022-07-14","Acadia National Park, Bar Harbor, ME, US",44.3631232897,-68.2095009664,621,"https://www.inaturalist.org/observations/126254545","All observations"
"rugosa rose","Rosa rugosa","2022-07-12","Acadia National Park, Winter Harbor, ME, US",44.3372533333,-68.0519945,5,"https://www.inaturalist.org/observations/125977483","All observations"
"rugosa rose","Rosa rugosa","2022-07-12","Acadia National Park, Bass Harbor, ME, US",44.2422,-68.2996533333,3,"https://www.inaturalist.org/observations/126006907","All observations"
